id,categoria,aliases
1,abrir y destapar / cerrar y cubrir,Abrir Y Destapar / Cerrar Y Cubrir|Abrir Y Destapar / Cerrar Y Cubrires|abrir y destapar / cerrar y cubrir|abrir y destapar / cerrar y cubrires
2,"absurdo, locura y disparate / coherencia y cordura","Absurdo, Locura Y Disparate / Coherencia Y Cordura|Absurdo, Locura Y Disparate / Coherencia Y Corduras|absurdo, locura y disparate / coherencia y cordura|absurdo, locura y disparate / coherencia y corduras"
3,acción,Acción|Acciónes|accion|acciones|acción|acciónes
4,"acción, función y participación","Acción, Función Y Participación|Acción, Función Y Participaciónes|accion, funcion y participacion|accion, funcion y participaciones|acción, función y participación|acción, función y participaciónes"
5,acciones y procesos,Acciones Y Procesos|Acciones Y Procesoses|acciones y procesos|acciones y procesoses
6,actividad comercial y precios,Actividad Comercial Y Precios|Actividad Comercial Y Precioses|actividad comercial y precios|actividad comercial y precioses
7,"actos violentos, golpes y daños físicos","Actos Violentos, Golpes Y Daños Físicos|Actos Violentos, Golpes Y Daños Físicoses|actos violentos, golpes y danos fisicos|actos violentos, golpes y danos fisicoses|actos violentos, golpes y daños físicos|actos violentos, golpes y daños físicoses"
8,"actos, ceremonias y fiestas","Actos, Ceremonias Y Fiestas|Actos, Ceremonias Y Fiestases|actos, ceremonias y fiestas|actos, ceremonias y fiestases"
9,acústica,Acústica|Acústicas|acustica|acusticas|acústica|acústicas
10,adicciones,Adicciones|Adiccioneses|adicciones|adiccioneses
11,adivinar y predecir / inesperado,Adivinar Y Predecir / Inesperado|Adivinar Y Predecir / Inesperados|adivinar y predecir / inesperado|adivinar y predecir / inesperados
12,adornos,Adornos|Adornoses|adornos|adornoses
13,aeronaves,Aeronaves|Aeronaveses|aeronaves|aeronaveses
14,afecto y cariño,Afecto Y Cariño|Afecto Y Cariños|afecto y carino|afecto y carinos|afecto y cariño|afecto y cariños
15,afianzar y equilibrar,Afianzar Y Equilibrar|Afianzar Y Equilibrares|afianzar y equilibrar|afianzar y equilibrares
